name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc,bugs
junit.extensions.ActiveTestSuite,8.0,0.0,0.0,10.0,18.0,22.0,1.0,10.0,7.0,0.714285714286,64.0,1.0,0.0,0.0,0.375,0.0,0.0,6.875,1.125,2.0,1
junit.extensions.ActiveTestSuite$1,2.0,2.0,0.0,6.0,5.0,0.0,1.0,6.0,1.0,0.0,33.0,0.0,3.0,0.984615384615,0.625,0.0,0.0,14.0,1.0,1.0,0
junit.extensions.RepeatedTest,4.0,0.0,0.0,8.0,13.0,0.0,0.0,8.0,4.0,0.333333333333,51.0,1.0,0.0,0.0,0.4375,0.0,0.0,11.5,1.75,3.0,0
junit.extensions.TestDecorator,6.0,0.0,2.0,9.0,10.0,0.0,3.0,6.0,6.0,0.0,33.0,1.0,1.0,0.0,0.5,0.0,0.0,4.33333333333,1.0,1.0,0
junit.extensions.TestSetup,4.0,0.0,0.0,8.0,7.0,6.0,1.0,8.0,2.0,2.0,21.0,0.0,0.0,0.0,0.5,0.0,0.0,4.25,1.0,1.0,0
junit.extensions.TestSetup$1,2.0,1.0,0.0,6.0,6.0,0.0,1.0,6.0,1.0,0.0,25.0,0.0,2.0,0.0,0.666666666667,0.0,0.0,10.5,1.0,1.0,0
junit.framework.Assert,39.0,1.0,2.0,18.0,60.0,741.0,3.0,15.0,38.0,2.0,406.0,0.0,0.0,0.0,0.130536130536,0.0,0.0,9.41025641026,1.53846153846,5.0,5
junit.framework.AssertionFailedError,2.0,4.0,1.0,12.0,4.0,1.0,8.0,4.0,2.0,2.0,10.0,1.0,0.0,1.0,0.75,0.0,0.0,3.5,1.0,1.0,0
junit.framework.ComparisonCompactor,8.0,1.0,0.0,7.0,19.0,0.0,1.0,6.0,2.0,0.678571428571,274.0,1.0,0.0,0.0,0.5,0.0,0.0,32.25,2.5,4.0,0
junit.framework.ComparisonFailure,4.0,0.0,0.0,6.0,8.0,0.0,1.0,5.0,4.0,0.833333333333,36.0,1.0,0.0,0.0,0.625,0.0,0.0,7.0,1.0,1.0,0
junit.framework.JUnit4TestAdapter,8.0,1.0,0.0,13.0,18.0,6.0,2.0,12.0,8.0,0.47619047619,60.0,1.0,2.0,0.0,0.375,0.0,0.0,6.125,1.0,1.0,0
junit.framework.JUnit4TestAdapterCache,7.0,3.0,0.0,17.0,27.0,19.0,2.0,17.0,5.0,1.0,125.0,1.0,1.0,0.928571428571,0.416666666667,0.0,0.0,16.5714285714,1.85714285714,3.0,0
junit.framework.JUnit4TestAdapterCache$1,4.0,0.0,0.0,10.0,11.0,0.0,1.0,10.0,3.0,0.0,42.0,0.0,2.0,0.0,0.45,0.0,0.0,9.0,1.0,1.0,0
junit.framework.JUnit4TestCaseFacade,5.0,1.0,0.0,9.0,8.0,8.0,2.0,7.0,4.0,0.5,26.0,1.0,1.0,0.0,0.466666666667,0.0,0.0,4.0,1.0,1.0,0
junit.framework.Protectable,1.0,1.0,0.0,7.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
junit.framework.Test,2.0,1.0,0.0,23.0,2.0,1.0,21.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,0
junit.framework.TestCase,13.0,0.0,1.0,20.0,30.0,58.0,6.0,15.0,9.0,0.5,177.0,1.0,0.0,0.0,0.410256410256,0.0,0.0,12.5384615385,1.0,1.0,0
junit.framework.TestFailure,7.0,1.0,0.0,13.0,20.0,11.0,2.0,11.0,7.0,0.416666666667,74.0,1.0,1.0,0.0,0.428571428571,0.0,0.0,9.28571428571,1.0,1.0,0
junit.framework.TestListener,4.0,1.0,0.0,11.0,4.0,6.0,6.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,1.0,0
junit.framework.TestResult,18.0,1.0,0.0,31.0,36.0,105.0,17.0,17.0,16.0,0.717647058824,246.0,1.0,0.0,0.0,0.230158730159,0.0,0.0,12.3888888889,1.33333333333,3.0,0
junit.framework.TestResult$1,2.0,1.0,0.0,6.0,4.0,0.0,1.0,6.0,1.0,0.5,17.0,0.0,2.0,0.0,0.666666666667,0.0,0.0,6.5,1.0,1.0,0
junit.framework.TestSuite,24.0,1.0,1.0,31.0,65.0,180.0,5.0,26.0,20.0,0.54347826087,501.0,1.0,0.0,0.0,0.183333333333,0.0,0.0,19.7916666667,1.75,5.0,0
junit.framework.TestSuite$1,2.0,0.0,0.0,5.0,4.0,0.0,1.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,0.75,0.0,0.0,5.5,1.0,1.0,0
junit.runner.BaseTestRunner,31.0,1.0,1.0,37.0,80.0,449.0,2.0,35.0,19.0,0.906666666667,548.0,0.2,0.0,0.0,0.146666666667,0.0,0.0,16.5161290323,1.67741935484,6.0,4
junit.runner.TestRunListener,6.0,1.0,0.0,3.0,6.0,15.0,0.0,3.0,6.0,1.2,8.0,0.0,0.0,0.0,0.583333333333,0.0,0.0,0.0,1.0,1.0,0
junit.runner.Version,3.0,1.0,0.0,7.0,5.0,3.0,2.0,5.0,2.0,2.0,12.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,3.0,1.0,1.0,0
junit.textui.ResultPrinter,17.0,1.0,0.0,15.0,39.0,132.0,1.0,14.0,7.0,0.65625,276.0,0.0,0.0,0.0,0.208556149733,0.0,0.0,15.1176470588,1.35294117647,4.0,0
junit.textui.TestRunner,18.0,0.0,0.0,17.0,46.0,141.0,0.0,17.0,14.0,0.926470588235,291.0,0.25,1.0,0.0,0.188888888889,0.0,0.0,14.9444444444,1.11111111111,2.0,1
org.junit.After,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.AfterClass,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.Assert,27.0,1.0,0.0,12.0,44.0,351.0,2.0,10.0,22.0,2.0,423.0,0.0,0.0,0.0,0.206349206349,0.0,0.0,14.6666666667,2.0,9.0,0
org.junit.Before,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.BeforeClass,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.ComparisonFailure,4.0,4.0,0.0,6.0,8.0,0.0,1.0,5.0,4.0,0.833333333333,36.0,1.0,0.0,0.875,0.625,1.0,1.0,7.0,1.0,1.0,0
org.junit.ComparisonFailure$ComparisonCompactor,8.0,1.0,0.0,7.0,19.0,0.0,1.0,6.0,2.0,0.678571428571,274.0,1.0,0.0,0.0,0.5,0.0,0.0,32.25,2.5,4.0,0
org.junit.Ignore,1.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.junit.Test,2.0,1.0,0.0,5.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.junit.Test$None,1.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0
org.junit.internal.requests.ClassRequest,4.0,0.0,0.0,10.0,12.0,4.0,1.0,10.0,2.0,0.666666666667,67.0,1.0,0.0,0.0,0.875,0.0,0.0,15.5,1.5,3.0,0
org.junit.internal.requests.ClassesRequest,2.0,0.0,0.0,7.0,7.0,0.0,1.0,7.0,2.0,0.0,47.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,21.5,2.0,3.0,0
org.junit.internal.requests.ErrorReportingRequest,3.0,0.0,0.0,15.0,18.0,1.0,1.0,15.0,2.0,0.5,83.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,26.0,2.0,3.0,0
org.junit.internal.requests.FilterRequest,2.0,0.0,0.0,10.0,10.0,0.0,1.0,10.0,2.0,0.0,47.0,1.0,2.0,0.0,0.666666666667,0.0,0.0,21.5,1.0,1.0,0
org.junit.internal.requests.SortingRequest,2.0,0.0,0.0,6.0,6.0,0.0,1.0,6.0,2.0,0.0,26.0,1.0,1.0,0.0,0.666666666667,0.0,0.0,11.0,1.0,1.0,0
org.junit.internal.runners.BeforeAndAfterRunner,7.0,1.0,2.0,15.0,16.0,13.0,3.0,12.0,2.0,0.583333333333,127.0,1.0,1.0,0.0,0.314285714286,0.0,0.0,16.5714285714,1.14285714286,2.0,0
org.junit.internal.runners.BeforeAndAfterRunner$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.internal.runners.BeforeAndAfterRunner$FailedBefore,2.0,3.0,0.0,5.0,3.0,1.0,1.0,4.0,0.0,2.0,9.0,1.0,0.0,1.0,0.75,0.0,0.0,3.0,1.0,1.0,0
org.junit.internal.runners.CompositeRunner,9.0,0.0,1.0,21.0,26.0,0.0,4.0,18.0,8.0,0.4375,126.0,1.0,0.0,0.0,0.238095238095,0.0,0.0,12.7777777778,1.33333333333,2.0,0
org.junit.internal.runners.CompositeRunner$1,3.0,1.0,0.0,7.0,6.0,1.0,1.0,7.0,2.0,0.5,29.0,0.0,2.0,0.0,0.466666666667,0.0,0.0,8.0,1.0,1.0,0
org.junit.internal.runners.ErrorReportingRunner,3.0,0.0,0.0,8.0,8.0,0.0,1.0,7.0,3.0,0.25,35.0,1.0,1.0,0.0,0.5,0.0,0.0,10.0,1.0,1.0,0
org.junit.internal.runners.InitializationError,4.0,3.0,0.0,12.0,7.0,4.0,5.0,7.0,4.0,0.666666666667,32.0,1.0,0.0,0.954545454545,0.4375,0.0,0.0,6.5,1.0,1.0,0
org.junit.internal.runners.MethodValidator,7.0,1.0,0.0,18.0,29.0,1.0,2.0,16.0,6.0,0.333333333333,203.0,1.0,1.0,0.0,0.47619047619,0.0,0.0,27.5714285714,1.71428571429,6.0,0
org.junit.internal.runners.OldTestClassRunner,6.0,0.0,1.0,17.0,23.0,9.0,3.0,15.0,4.0,0.4,110.0,1.0,1.0,0.0,0.458333333333,0.0,0.0,17.1666666667,1.83333333333,6.0,0
org.junit.internal.runners.OldTestClassRunner$1,7.0,1.0,0.0,14.0,17.0,9.0,1.0,14.0,4.0,0.666666666667,76.0,0.0,2.0,0.0,0.404761904762,0.0,0.0,9.57142857143,1.28571428571,2.0,0
org.junit.internal.runners.TestClassMethodsRunner,13.0,0.0,1.0,26.0,39.0,56.0,3.0,24.0,5.0,0.583333333333,191.0,1.0,0.0,0.0,0.25,0.0,0.0,13.5384615385,1.23076923077,3.0,0
org.junit.internal.runners.TestClassMethodsRunner$1,3.0,1.0,0.0,7.0,6.0,1.0,1.0,7.0,2.0,0.0,33.0,0.0,2.0,0.0,0.466666666667,0.0,0.0,9.33333333333,1.0,1.0,0
org.junit.internal.runners.TestClassRunner,8.0,0.0,2.0,19.0,18.0,14.0,3.0,17.0,6.0,0.5,72.0,1.0,1.0,0.0,0.267857142857,0.0,0.0,7.75,1.0,1.0,0
org.junit.internal.runners.TestClassRunner$1,3.0,0.0,0.0,10.0,8.0,0.0,1.0,10.0,0.0,0.0,36.0,0.0,2.0,0.0,0.444444444444,0.0,0.0,10.3333333333,1.0,1.0,0
org.junit.internal.runners.TestIntrospector,9.0,1.0,0.0,15.0,26.0,34.0,4.0,11.0,3.0,0.875,198.0,1.0,0.0,0.0,0.527777777778,0.0,0.0,20.8888888889,2.55555555556,5.0,0
org.junit.internal.runners.TestMethodRunner,11.0,0.0,0.0,26.0,42.0,39.0,2.0,25.0,2.0,0.58,257.0,1.0,3.0,0.0,0.204545454545,0.0,0.0,21.9090909091,1.54545454545,3.0,0
org.junit.internal.runners.TestMethodRunner$1,2.0,1.0,0.0,5.0,4.0,0.0,1.0,5.0,1.0,0.0,14.0,0.0,1.0,0.0,0.75,0.0,0.0,5.5,1.0,1.0,0
org.junit.internal.runners.TextListener,14.0,0.0,0.0,14.0,35.0,71.0,1.0,13.0,6.0,0.230769230769,230.0,1.0,0.0,0.0,0.285714285714,0.0,0.0,15.3571428571,1.35714285714,4.0,0
org.junit.runner.Description,14.0,1.0,0.0,38.0,26.0,87.0,32.0,6.0,12.0,0.564102564103,142.0,0.666666666667,1.0,0.0,0.261538461538,1.0,1.0,8.92857142857,1.42857142857,4.0,1
org.junit.runner.JUnitCore,13.0,1.0,0.0,20.0,39.0,58.0,0.0,20.0,11.0,0.25,177.0,1.0,1.0,0.0,0.201923076923,0.0,0.0,12.5384615385,1.15384615385,2.0,0
org.junit.runner.Request,9.0,1.0,5.0,18.0,17.0,36.0,9.0,15.0,9.0,2.0,58.0,0.0,0.0,0.0,0.208333333333,0.0,0.0,5.44444444444,1.0,1.0,0
org.junit.runner.Request$1,3.0,0.0,0.0,8.0,12.0,0.0,1.0,8.0,2.0,0.5,53.0,0.0,2.0,0.0,0.666666666667,0.0,0.0,16.0,1.66666666667,3.0,0
org.junit.runner.Result,14.0,1.0,0.0,11.0,18.0,59.0,6.0,7.0,8.0,0.830769230769,100.0,1.0,0.0,0.0,0.380952380952,0.0,0.0,5.78571428571,1.07142857143,2.0,0
org.junit.runner.Result$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.runner.Result$Listener,7.0,0.0,0.0,10.0,16.0,0.0,1.0,10.0,5.0,0.0,53.0,0.0,1.0,0.0,0.428571428571,0.0,0.0,6.42857142857,1.0,1.0,0
org.junit.runner.RunWith,1.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.junit.runner.Runner,4.0,1.0,5.0,24.0,6.0,6.0,20.0,4.0,4.0,2.0,11.0,0.0,0.0,0.0,0.625,0.0,0.0,1.75,1.0,1.0,0
org.junit.runner.manipulation.Filter,5.0,1.0,2.0,14.0,8.0,10.0,8.0,8.0,4.0,1.0,24.0,0.0,1.0,0.0,0.5,0.0,0.0,3.6,1.0,1.0,0
org.junit.runner.manipulation.Filter$1,3.0,0.0,0.0,5.0,4.0,3.0,1.0,5.0,2.0,2.0,10.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,2.33333333333,1.0,1.0,0
org.junit.runner.manipulation.Filterable,1.0,1.0,0.0,7.0,1.0,0.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.junit.runner.manipulation.NoTestsRemainException,1.0,3.0,0.0,9.0,2.0,0.0,6.0,3.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0
org.junit.runner.manipulation.Sortable,1.0,1.0,0.0,6.0,1.0,0.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
org.junit.runner.manipulation.Sorter,4.0,1.0,0.0,12.0,7.0,4.0,7.0,6.0,4.0,0.333333333333,34.0,1.0,0.0,0.0,0.4,0.0,0.0,7.25,1.25,2.0,0
org.junit.runner.notification.Failure,7.0,1.0,0.0,22.0,20.0,9.0,12.0,10.0,7.0,0.416666666667,74.0,1.0,1.0,0.0,0.428571428571,0.0,0.0,9.28571428571,1.0,1.0,0
org.junit.runner.notification.RunListener,7.0,1.0,3.0,19.0,8.0,21.0,14.0,6.0,7.0,2.0,16.0,0.0,0.0,0.0,0.464285714286,0.0,0.0,1.28571428571,1.0,1.0,0
org.junit.runner.notification.RunNotifier,12.0,1.0,0.0,28.0,30.0,40.0,19.0,15.0,11.0,0.727272727273,99.0,1.0,0.0,0.0,0.291666666667,0.0,0.0,7.08333333333,1.0,1.0,0
org.junit.runner.notification.RunNotifier$1,2.0,0.0,0.0,12.0,4.0,0.0,7.0,7.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$2,2.0,0.0,0.0,8.0,4.0,0.0,1.0,8.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$3,2.0,0.0,0.0,8.0,4.0,0.0,1.0,8.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$4,2.0,0.0,0.0,8.0,4.0,0.0,1.0,8.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$5,2.0,0.0,0.0,8.0,4.0,0.0,1.0,8.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$6,2.0,0.0,0.0,8.0,4.0,0.0,1.0,8.0,0.0,0.5,20.0,0.0,2.0,0.0,0.625,0.0,0.0,8.0,1.0,1.0,0
org.junit.runner.notification.RunNotifier$SafeNotifier,4.0,1.0,6.0,16.0,12.0,4.0,6.0,11.0,0.0,0.333333333333,42.0,0.0,1.0,0.0,0.5,0.0,0.0,9.25,1.25,2.0,0
org.junit.runner.notification.StoppedByUserException,1.0,4.0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0
org.junit.runners.AllTests,2.0,0.0,0.0,12.0,13.0,1.0,0.0,12.0,1.0,2.0,48.0,0.0,0.0,0.0,0.75,0.0,0.0,23.0,1.0,1.0,0
org.junit.runners.Enclosed,1.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,1.0,0
org.junit.runners.Parameterized,3.0,0.0,0.0,11.0,9.0,3.0,0.0,11.0,2.0,2.0,47.0,0.0,0.0,0.0,0.416666666667,0.0,0.0,14.6666666667,1.33333333333,2.0,0
org.junit.runners.Parameterized$1,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.runners.Parameterized$Parameters,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
org.junit.runners.Parameterized$RunAllParameterMethods,3.0,0.0,0.0,18.0,21.0,1.0,1.0,17.0,1.0,0.0,104.0,1.0,0.0,0.0,0.666666666667,0.0,0.0,33.3333333333,1.0,1.0,0
org.junit.runners.Parameterized$TestClassRunnerForParameters,6.0,0.0,0.0,12.0,14.0,7.0,1.0,11.0,0.0,0.533333333333,76.0,1.0,0.0,0.0,0.388888888889,0.0,0.0,11.1666666667,1.0,1.0,0
org.junit.runners.Suite,3.0,0.0,1.0,11.0,11.0,3.0,1.0,10.0,2.0,2.0,41.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,12.6666666667,1.0,1.0,0
org.junit.runners.Suite$SuiteClasses,1.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0
